U:0,U:1,U:2,Points:0,Points:1,Points:2
1.5919,-0.39624,0.34424,2.6613,6.096,-2.0962
3.6671,0.038628,-0.075979,1.6764,0.11092,1.1177
4.2815,-0.18012,-0.2418,2.4931,1.2108,1.5393
2.8927,0.048029,-0.41496,-2.0963,2.3495,-2.794
4.2313,-0.43484,-0.013037,-2.4825,4.7491,-0.13977
2.7371,-0.06871,-0.054564,-0.9779,0,-2.794
3.9018,-0.0088167,0.00028234,0.69455,3.1878,-1.1311
3.6405,0.14739,0.12828,1.816,0.38983,-1.6793
3.9404,0.21095,0.19673,2.0795,1.9343,-1.6861
4.0078,-0.1631,-0.074868,-1.3962,0.66995,-1.9678
4.3819,-0.23356,0.83521,2.6522,2.4916,-2.392
3.6268,0.31086,0.16272,2.0962,0.38918,-1.5385
4.001,0.050698,8.1832E-06,1.5229,2.2104,-5.2288E-07
3.672,-0.039121,0.28172,2.2365,2.4894,-2.5412
4.0138,-0.0055998,-0.018213,-0.13869,3.4675,-0.42426
3.5509,0.23503,-0.019245,-1.3967,5.8454,-0.4192
4.9327,0.038679,0.10349,-2.7956,5.4326,2.2465
4.1581,-0.19526,0.25016,2.3665,5.1545,-1.6814
3.9266,-0.0045694,0.045147,1.2486,3.1876,-1.1284
3.8003,-0.12432,0.038603,1.6749,5.5667,-0.55931
3.7646,0.014742,0.011903,0.55863,5.7055,1.2588
3.6978,0.061614,-0.068327,-7.767E-09,5.7057,-1.9625
3.7722,-0.010639,0.027348,0.41893,2.07,2.4023
2.9875,-0.3471,-1.0888,2.6605,2.6289,2.6812
3.6899,-0.14177,-0.16087,1.9536,4.1651,2.4001
3.6211,0.21105,0.15224,1.9561,0.38957,-1.6792
3.7093,-0.0096249,0.017391,0.55866,0.53025,1.9654
3.1532,0.1984,0.23042,2.2399,0.11036,-1.9572
3.8426,0.054809,0.074678,1.3911,1.9302,-1.6934
3.9952,-0.063138,1.478E-06,2.0751,2.9084,-3.1599E-07
4.3985,0.0038341,-0.20959,2.5008,1.0759,1.399
3.2709,0.034833,-0.10544,-0.8382,2.7686,-2.794
4.8691,0.01796,0.020169,-2.6489,0.94039,1.2581
3.2423,-0.11956,0.088539,-1.1175,1.7907,2.6828
3.9906,0.090137,0.049434,-0.69746,5.2862,0.98117
3.2427,0.11153,-0.13231,-0.83818,5.985,-1.8169
3.87,0.077135,0.10396,-0.69798,5.1454,1.973
3.807,-9.2745E-06,0.030148,0.41815,3.048,1.839
3.8386,-0.016783,-0.246,2.0918,2.4899,2.257
3.8361,-0.09552,-0.10718,-0.83677,1.7902,-1.9784
5,0,0,-3.048,3.7418,-1.8166
0.38416,0.49751,0.048419,-2.3837,6.096,0.6985
5.0189,0.58691,0.19618,2.7942,0.80308,-1.2576
3.6109,-0.078845,-0.049393,2.3426,1.5015,0.41953
2.9863,-0.18587,0.1726,-1.8124,1.6506,2.2585
2.5,0,0,-3.048,5.8634,-1.5367
3.4647,-0.0046059,0.020113,-1.2492,4.587,0.42139
4.9836,0.038052,0.021328,-2.9377,5.437,1.9583
5.5906,-0.60035,0.27791,3.048,5.2887,-1.5367
3.7916,0.012956,0.06197,1.3953,2.629,-2.2608
3.7898,0.029491,0.021602,0.97647,0.80974,-1.2622
3.4164,-0.071286,-0.038539,-0.4191,1.651,-2.794
