U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.9538,0.0807625,0.1392375,0.1,0.1,0
-0.71565,-0.01582,0.035915,0.56095,0.1,0
-0.605125,-0.1431025,-0.07201,0.94329,0.1,0
-0.3094,-0.1798725,-0.1009,1.3958,0.1,0
0.03304,-0.1431025,-0.0786475,1.8699,0.1,0
0.29665,-0.108275,-0.06019,2.3478,0.1,0
0.489125,-0.0879525,-0.048545,2.8261,0.1,0
0.648025,-0.0754025,-0.0412575,3.3043,0.1,0
0.78395,-0.06786,-0.0370625,3.7826,0.1,0
0.905375,-0.062675,-0.0340675,4.2609,0.1,0
1.01825,-0.0600925,-0.0329625,4.7391,0.1,0
1.12465,-0.058235,-0.03215,5.2174,0.1,0
1.22405,-0.05282,-0.0275125,5.6957,0.1,0
1.315975,-0.0452125,-0.020572,6.1739,0.1,0
1.400575,-0.03935,-0.015475,6.6522,0.1,0
1.478375,-0.034535,-0.01159225,7.1304,0.1,0
1.549325,-0.0300025,-0.0081525,7.6087,0.1,0
1.6127,-0.0260825,-0.00546825,8.087,0.1,0
1.66805,-0.022498,-0.00318425,8.5652,0.1,0
1.715075,-0.01919975,-0.001141275,9.0435,0.1,0
1.753875,-0.0162275,0.000679725,9.5217,0.1,0
1.784625,-0.01359275,0.00227645,10,0.1,0
1.8075,-0.01128025,0.0037035,10.478,0.1,0
1.822875,-0.00924375,0.00501625,10.957,0.1,0
1.8313,-0.007462,0.00620675,11.435,0.1,0
1.8334,-0.00591725,0.0072565,11.913,0.1,0
1.8297,-0.004584,0.00816125,12.391,0.1,0
1.8208,-0.0034285,0.00892825,12.87,0.1,0
1.80715,-0.002413,0.00957675,13.348,0.1,0
1.7892,-0.00150665,0.010132,13.826,0.1,0
1.76705,-0.00067445,0.01062575,14.304,0.1,0
1.7407,0.00014224,0.0111065,14.783,0.1,0
1.70975,0.001016,0.0116345,15.261,0.1,0
1.6734,0.002026175,0.01231225,15.739,0.1,0
1.6301,0.00330125,0.013286,16.217,0.1,0
1.577175,0.0050745,0.01478775,16.696,0.1,0
1.509925,0.00777375,0.01728,17.174,0.1,0
1.419875,0.0122485,0.02169375,17.652,0.1,0
1.29175,0.02026675,0.0299325,18.13,0.1,0
1.1069,0.03537,0.04569,18.604,0.1,0
0.7626,0.0638225,0.07127,19.057,0.1,0
0.495,0.077175,0.08408,19.439,0.1,0
0.617125,0.09598,0.108895,19.9,0.1,0
0.0,0.0,0.0,3.3043,0.48827,0
0.0,0.0,0.0,3.7826,0.48827,0
0.0,0.0,0.0,4.2609,0.48827,0
0.0,0.0,0.0,15.739,0.48827,0
0.0,0.0,0.0,16.217,0.48827,0
0.0,0.0,0.0,16.696,0.48827,0
0.0,0.0,0.0,4.7391,0.48828,0
0.0,0.0,0.0,5.2174,0.48828,0
0.0,0.0,0.0,5.6957,0.48828,0
0.0,0.0,0.0,6.1739,0.48828,0
0.0,0.0,0.0,6.6522,0.48828,0
0.0,0.0,0.0,7.1304,0.48828,0
0.0,0.0,0.0,7.6087,0.48828,0
0.0,0.0,0.0,8.087,0.48828,0
0.0,0.0,0.0,8.5652,0.48828,0
0.0,0.0,0.0,9.0435,0.48828,0
0.0,0.0,0.0,9.5217,0.48828,0
0.0,0.0,0.0,10,0.48828,0
0.0,0.0,0.0,10.478,0.48828,0
0.0,0.0,0.0,10.957,0.48828,0
0.0,0.0,0.0,11.435,0.48828,0
0.0,0.0,0.0,11.913,0.48828,0
0.0,0.0,0.0,12.391,0.48828,0
0.0,0.0,0.0,12.87,0.48828,0
0.0,0.0,0.0,13.348,0.48828,0
0.0,0.0,0.0,13.826,0.48828,0
0.0,0.0,0.0,14.304,0.48828,0
0.0,0.0,0.0,14.783,0.48828,0
0.0,0.0,0.0,15.261,0.48828,0
0.0,0.0,0.0,2.826,0.48833,0
0.0,0.0,0.0,17.174,0.48833,0
0.0,0.0,0.0,2.3473,0.48851,0
0.0,0.0,0.0,17.653,0.48852,0
0.0,0.0,0.0,1.8682,0.48906,0
0.0,0.0,0.0,18.132,0.48907,0
0.0,0.0,0.0,1.3909,0.49071,0
0.0,0.0,0.0,18.609,0.49072,0
0.0,0.0,0.0,0.92853,0.49584,0
0.0,0.0,0.0,19.071,0.49586,0
0.0,0.0,0.0,0.5137,0.51161,0
0.0,0.0,0.0,19.486,0.51162,0
-0.587475,0.3587,0.0449775,0.1,0.56095,0
0.41735,0.1569025,0.3621,19.9,0.56095,0
0.0,0.0,0.0,3.3043,0.91436,0
0.0,0.0,0.0,3.7826,0.91436,0
0.0,0.0,0.0,16.217,0.91436,0
0.0,0.0,0.0,16.696,0.91436,0
0.0,0.0,0.0,4.2609,0.91437,0
0.0,0.0,0.0,4.7391,0.91437,0
0.0,0.0,0.0,5.2174,0.91437,0
0.0,0.0,0.0,5.6957,0.91437,0
0.0,0.0,0.0,6.1739,0.91437,0
0.0,0.0,0.0,6.6522,0.91437,0
0.0,0.0,0.0,7.1304,0.91437,0
0.0,0.0,0.0,7.6087,0.91437,0
0.0,0.0,0.0,8.087,0.91437,0
0.0,0.0,0.0,8.5652,0.91437,0
0.0,0.0,0.0,9.0435,0.91437,0
0.0,0.0,0.0,9.5217,0.91437,0
0.0,0.0,0.0,10,0.91437,0
0.0,0.0,0.0,10.478,0.91437,0
0.0,0.0,0.0,10.957,0.91437,0
0.0,0.0,0.0,11.435,0.91437,0
0.0,0.0,0.0,11.913,0.91437,0
0.0,0.0,0.0,12.391,0.91437,0
0.0,0.0,0.0,12.87,0.91437,0
0.0,0.0,0.0,13.348,0.91437,0
0.0,0.0,0.0,13.826,0.91437,0
0.0,0.0,0.0,14.304,0.91437,0
0.0,0.0,0.0,14.783,0.91437,0
0.0,0.0,0.0,15.261,0.91437,0
0.0,0.0,0.0,15.739,0.91437,0
0.0,0.0,0.0,2.8259,0.91438,0
0.0,0.0,0.0,17.174,0.91438,0
0.0,0.0,0.0,2.347,0.91444,0
0.0,0.0,0.0,17.653,0.91444,0
0.0,0.0,0.0,1.867,0.91471,0
0.0,0.0,0.0,18.133,0.91471,0
0.0,0.0,0.0,1.3873,0.91574,0
0.0,0.0,0.0,18.613,0.91574,0
0.0,0.0,0.0,0.91956,0.9191,0
0.0,0.0,0.0,19.08,0.91911,0
0.0,0.0,0.0,0.49629,0.92757,0
0.0,0.0,0.0,19.504,0.92758,0
-0.391575,0.586375,-0.065675,0.1,0.94329,0
0.46735,0.23573,0.503275,19.9,0.94329,0
0.0,0.0,0.0,2.3468,1.3849,0
0.0,0.0,0.0,2.8258,1.3849,0
0.0,0.0,0.0,3.3043,1.3849,0
0.0,0.0,0.0,3.7826,1.3849,0
0.0,0.0,0.0,4.2609,1.3849,0
0.0,0.0,0.0,4.7391,1.3849,0
0.0,0.0,0.0,5.2174,1.3849,0
0.0,0.0,0.0,5.6957,1.3849,0
0.0,0.0,0.0,6.1739,1.3849,0
0.0,0.0,0.0,6.6522,1.3849,0
0.0,0.0,0.0,7.1304,1.3849,0
