U:0,U:1,U:2,Points:0,Points:1,Points:2
4.8896,-0.093399,0.6069,0.00085587,3.4103,19.999
1.1896,-0.26368,3.7005,2.3696,0.0019437,19.999
4.8568,-0.34196,0.46359,0.0024648,2.3696,19.998
1.3113,-0.39966,2.835,1.4902,0.0038824,19.997
3.2292,-0.50013,1.2933,0.0051555,1.4902,19.996
1.0865,-0.31177,1.5153,0.0072424,0.0052574,19.995
1.9853,0.052089,6.749,7.7989,19.164,19.169
1.8065,0.034981,6.2797,8.8996,19.164,19.169
1.6552,0.024309,5.7978,10,19.164,19.169
1.5247,0.016961,5.3066,11.1,19.164,19.169
1.4097,0.011108,4.8061,12.201,19.164,19.169
4.731,0.0094657,2.6206,0.83633,11.101,19.169
1.0521,-0.0035863,1.057,19.164,11.101,19.169
4.7309,0.0003789,2.6193,0.83631,10,19.169
1.0499,-0.0016396,1.0546,19.164,10,19.169
1.0493,-0.00013922,1.0539,19.164,8.8997,19.169
4.7304,-0.0095378,2.6163,0.83629,8.899,19.169
1.0499,0.0012713,1.0546,19.164,7.7989,19.169
4.7297,-0.022277,2.61,0.83629,7.7968,19.169
1.5521,-0.017836,5.3012,11.101,0.83633,19.169
1.6822,-0.023368,5.801,10,0.83631,19.169
1.8341,-0.032321,6.2897,8.8991,0.83629,19.169
2.0133,-0.047763,6.7634,7.797,0.83628,19.169
2.1991,0.081861,7.1908,6.6968,19.164,19.168
1.3057,0.0050791,4.2946,13.303,19.164,19.168
1.2088,-0.0034091,3.7687,14.409,19.164,19.168
2.4544,0.13247,7.5577,5.5913,19.163,19.168
4.7277,0.038727,2.6145,0.83708,14.42,19.168
1.0764,-0.017881,1.0834,19.163,14.419,19.168
4.7299,0.029212,2.619,0.83657,13.308,19.168
1.0637,-0.010755,1.0696,19.163,13.307,19.168
4.7308,0.018741,2.6206,0.83639,12.203,19.168
1.0564,-0.0063106,1.0617,19.164,12.203,19.168
1.0519,0.0027187,1.0569,19.164,6.6968,19.168
4.7285,-0.040789,2.5966,0.83631,6.6911,19.168
1.0556,0.0045052,1.0613,19.164,5.5913,19.168
4.7241,-0.06936,2.5722,0.83638,5.5766,19.168
1.3387,-0.011335,4.2617,13.308,0.83656,19.168
1.4388,-0.014186,4.7892,12.203,0.83639,19.168
2.4687,-0.12954,7.5737,5.5785,0.83638,19.168
2.2248,-0.076323,7.2068,6.6917,0.83631,19.168
1.1151,-0.018913,3.2239,15.523,19.166,19.167
